,0
1044,Cypress Hill
1045,JACKBOYS
1046,Dr. Dre
1047,Dalex
1048,Depeche Mode
1049,Ice Cube
1050,Pantera
1051,Mc Pogba
1052,CURSEDEVIL
1053, LOUKI
1054,Lenny Kravitz
1055, Buscabulla
1056,Alex Gaudino
1057, Lil Tracy
1058,Queen
1059,Dimitri Vegas
1060, Gigi D'Agostino
1061,Ace of Base
1062,Lil Wayne
1063,Bakar
1064, Crystal Waters
1065, Mc Leozin
1066,Timbaland
1067, Mc Menor Do Alvorada
1068,HUGEL
1069,Finger Eleven
1070,Amy Winehouse
1071,Ricky Martin
1072,USHER
1073, Darkiel
1074,Lou Reed
1075,Ed Sheeran
1076,Rauw Alejandro
1077,Pritam
1078,Patrick Watson
1079, ScHoolboy Q
1080, D.O.D
1081,Kenny Rogers
1082,Jason Mraz
1083,Yng Lvcas
1084, Anne-Marie
1085,BANNERS
1086, Annie Lennox
1087,Frankie Valli & The Four Seasons
1088,Ludwig van Beethoven
1089,Madonna
1090, FAVE
1091,Lana Del Rey
1092, Malachiii
1093,Lloyd
1094, Mc Brinquedo
1095,Ndotz
1096,Boyz II Men
1097,Outkast
1098, Chencho Corleone
1099,Filipe Ret
1100,Bingo Players
1101, DFZM
1102, Dave Stewart
1103,Elton John
1104,Phil Collins
1105,Billie Eilish
1106,Jasiel Nuñez
1107,Liana Flores
1108,Felix Jaehn
1109,Eladio Carrion
1110,Beyoncé
1111, Luvli
1112,Mrs. GREEN APPLE
1113, Gunna
1114, XXXTENTACION
1115, Britney Spears
1116, Lil Tjay
1117, Anuel AA
1118,Mora
1119,Roxette
1120, DJ Guih Da ZO
1121, sped up nightcore
1122,James Arthur
1123, Sam Martin
1124, Dímelo Flow
1125,Kygo
1126, JRK 19
1127,Nat King Cole
1128,Gunna
1129, 41
1130, Bipolar Sunshine
1131, Lola Young
1132, Yaviah
1133,PSY
1134, Maluma
1135,Avril Lavigne
1136,Tyler
1137,Fuerza Regida
1138, Klaas
1139, Dua Lipa
1140, Jowell & Randy
1141,Tears For Fears
1142,Ne-Yo
1143,Keane
1144,Omar Courtz
1145,Los Enanitos Verdes
1146, Lossa
1147,Muse
1148, DJ Oreia
1149, David Guetta
1150, 21 Savage
1151, T.I.
1152,The Emotions
1153,George Benson
1154,Kina
1155, Julian Casablancas
1156, Metro Boomin
1157, Quevedo
1158, Kimbra
1159,Trippie Redd
1160,Dj Samir
1161,Modjo
1162,Young Stoner Life
1163,Kali Uchis
1164, DJ FKU
1165, Siyam
1166, Jubin Nautiyal
1167, 42 Dugg
1168, Roddy Ricch
1169, Central Cee
1170,Semicenk
1171,Armin van Buuren
1172, Blessd
1173,Bad Bunny
1174,Asake
1175,Carin Leon
1176, Pharrell Williams
1177, Lewis Somes
1178, Emilee
1179,Vaundy
1180,Caifanes
1181, Dj Brunin XM
1182, YSY A
1183,Doja Cat
1184,Luniz
1185,sign crushes motorist
1186, Justin Timberlake
1187,Kesha
1188,Journey
1189, TaTa
1190,A Boogie Wit da Hoodie
1191,ROSALÍA
1192, Jasmine Thompson
1193,Bryant Myers
1194,Maria Becerra
1195,Guru Josh Project
1196,41
1197,Sum 41
1198, YG Marley
1199,Evanescence
1200,Shubh
1201,Disclosure
1202,Jet
1203,Surf Mesa
1204, Jazzy
1205,Piso 21
1206,Coldplay
